name,label
医方大成论,Literature
山东中草药手册,Literature
注意：斑蝥有剧毒，使用请严遵医嘱凡体质虚弱者，心、肾功能不全者，消化道溃疡者，以及孕妇均禁服,Contraindication
散结、抗癌、破血化瘀,Efficacy
西南,Origin
中南及江苏,Origin
浙江等地,Origin
本草骈比,Literature
辨证施治,Literature
内服不宜过量遵医嘱,Contraindication
破瘀血、消积杀虫,Efficacy
全国大部地区都有。,Origin
补缺肘后方,Literature
经验方,Literature
万病回春,Literature
破血通经、逐瘀消癥,Efficacy
华北及华东各地,Origin
"孕妇、月经期、气血虚忌服
①《药性论》：""恶麻黄""
②《品汇精要》：""妊娠不可服，服之堕胎""",Contraindication
通络止痛,Efficacy
散结消肿,Efficacy
活血化瘀活血疗伤药,Category
医方摘要,Literature
贵州省中医验方秘方,Literature
中药志,Literature
良朋汇集,Literature
浙江中医杂志,Literature
袪风湿,Efficacy
活血止痛,Efficacy
云南中药志,Literature
云南中草药选,Literature
孕妇、老弱、婴幼儿及心脏病、溃汤病患者均禁服酒剂禁内服,Contraindication
化瘀接骨,Efficacy
祛风除湿,Efficacy
消肿解毒,Efficacy
藏药志,Literature
广西民间常用草药,Literature
广州植物志,Literature
广西中药志,Literature
破瘀血,Efficacy
续筋骨,Efficacy
医林改错,Literature
约性论,Literature
平肝定惊,Efficacy
平肝息风止痉药,Category
灵苑方,Literature
虚寒证无火毒者禁服,Contraindication
息风镇痉,Efficacy
攻毒散结,Efficacy
油珍方,Literature
泉州本草,Literature
卫生家宝,Literature
证治准绳,Literature
中草医药经验交流,Literature
外科真诠,Literature
孕妇禁用,Contraindication
功毒散结,Efficacy
神枕方,Literature
世医通变要法,Literature
直指方,Literature
孙天仁集效方,Literature
江苏中医,Literature
抱朴子,Literature
"孕妇禁用《本草衍义》：""畏蛞蝓""畏蜘蛛、鸡屎、桑皮、白盐",Contraindication
消瘀,Efficacy
止血,Efficacy
去湿,Efficacy
主产于南北各地。,Origin
岭南采药录,Literature
高科选粹,Literature
单方验方新医疗法选编,Literature
海上方,Literature
妇人经验方,Literature
不明,Contraindication
化瘀,Efficacy
谈野箱试验方,Literature
十药神书,Literature
鲁府禁方,Literature
嘉佑本草,Literature
无瘀滞及孕妇忌服,Contraindication
凉血止血,Efficacy
活血消瘀,Efficacy
塞上方,Literature
简便单方,Literature
证类本草,Literature
本事方,Literature
卫生宝鉴,Literature
止血散瘀,Efficacy
消肿定痛,Efficacy
河南中医,Literature
上海中医药杂志,Literature
得配本草,Literature
同寿录,Literature
玉揪药解,Literature
广西民族药简编,Literature
医学衷中参西录,Literature
回生集,Literature
曲靖专区中草药手册,Literature
"孕妇慎用①《本草从新》：""能损新血，无瘀者勿用""②《得配本草》：""血虚吐衄，血热妄行者禁用""",Contraindication
行滞气,Efficacy
暖脾胃,Efficacy
消症积,Efficacy
解毒杀虫,Efficacy
温里药,Category
全国过各地都有。,Origin
必效方,Literature
贵州中医验方,Literature
永类钤方,Literature
世医褥效方,Literature
简易方论,Literature
中医大宝库食疗方,Literature
梅师集验方,Literature
中草药新医疗法展览会资料选编,Literature
单方验方调查资料选编,Literature
摄生众妙方,Literature
静月山人古籍摘录,Literature
食疗本草,Literature
食物本草会纂,Literature
阴虚火旺、目疾、口齿、喉、舌诸患和时行病后均忌食生品,Contraindication
降气温中,Efficacy
暖肾纳气,Efficacy
赤水玄珠,Literature
活人心统,Literature
行气活血,Efficacy
止血止痛,Efficacy
降气,Efficacy
辟秽,Efficacy
本草纲目,Literature
阴虚火旺、血热妄行者慎服,Contraindication
行气温中、开胃止痛,Efficacy
本草备要,Literature
医学金针,Literature
阴虚火盛、动血致嗽者忌服,Contraindication
理气止痛,Efficacy
消食止泻,Efficacy
常用草药治疗手册,Literature
阳虚气弱、孕妇慎用,Contraindication
行气止痛、活血散瘀、解毒消肿,Efficacy
生草药性备要,Literature
医学集成,Literature
福建中草药,Literature
阴虚火亢者忌用,Contraindication
祛风活络,Efficacy
利水通经,Efficacy
浙江民间草药,Literature
湖南药物志,Literature
中药临床应用,Literature
德胜堂方,Literature
德胜堂经验方,Literature
古今良方,Literature
阴虚、月经过多及孕妇禁服,Contraindication
消瘀解毒,Efficacy
祛风湿强筋骨药,Category
台湾,Origin
湖南,Origin
海南,Origin
广西,Origin
贵州,Origin
香港中草药,Literature
植物名实图考,Literature
江西中医药,Literature
新疗法与中草药选编,Literature
孕妇慎用,Contraindication
祛风化湿,Efficacy
止痛止痒,Efficacy
中草药土方土法战备专辑,Literature
全展选编,Literature
中草药土方土法战备专楫,Literature
福建民间草药,Literature
南京民间药草,Literature
