source,target,type
火炭母,感冒,Herb
火炭母,痢疾,Herb
火炭母,霉菌性阴道炎,Herb
毛草龙,乳痈,Herb
毛草龙,疔疮,Herb
毛草龙,痔疮,Herb
毛草龙,毒蛇咬伤,Herb
毛草龙,感冒,Herb
九层塔,咳嗽,Herb
九层塔,热咳,Herb
九层塔,中暑,Herb
九层塔,头痛,Herb
九层塔,遗精,Herb
九层塔,湿痹,Herb
九层塔,感冒,Herb
九层塔,腹胀,Herb
防风,头痛,Herb
防风,湿痹,Herb
防风,感冒,Herb
防风草,疮疡,Herb
防风草,感冒,Herb
白芷,疮疡,Herb
白芷,头痛,Herb
罗勒,咳嗽,Herb
罗勒,热咳,Herb
罗勒,中暑,Herb
罗勒,头痛,Herb
罗勒,遗精,Herb
罗勒,湿痹,Herb
罗勒,感冒,Herb
罗勒,腹胀,Herb
六月寒,咳嗽,Herb
六月寒,烫伤,Herb
六月寒,感冒,Herb
藜芦,疟疾,Herb
藜芦,中风,Herb
胆矾,中风,Herb
胆矾,痔疮,Herb
甜瓜蒂,黄疸,Herb
甜瓜蒂,中风,Herb
草果,疟疾,Herb
草果,痞满,Herb
草果,腹胀,Herb
豆蔻,腹胀,Herb
厚朴,痰饮,Herb
厚朴,腹胀,Herb
佩兰,头痛,Herb
广藿香,足癣,Herb
广藿香,头痛,Herb
广藿香,感冒,Herb
藿香,湿阻,Herb
藿香,足癣,Herb
藿香,头痛,Herb
藿香,感冒,Herb
砂仁,痰饮,Herb
砂仁,肿胀,Herb
蟾酥,瘰疬,Herb
蟾酥,疔疮,Herb
安息香,中风,Herb
安息香,惊风,Herb
安息香,昏迷,Herb
麝香,瘰疬,Herb
麝香,中风,Herb
麝香,难产,Herb
麝香,昏迷,Herb
九节菖蒲,耳鸣,Herb
九节菖蒲,耳聋,Herb
九节菖蒲,湿痹,Herb
九节菖蒲,腹胀,Herb
石菖蒲,肿瘤,Herb
鹤虱,蛔虫病,Herb
鹤虱,蛲虫病,Herb
鹤虱,绦虫病,Herb
鹤虱,虫积,Herb
南鹤虱,绦虫病,Herb
南鹤虱,虫积,Herb
雷丸,虫积,Herb
榧子,痔疮,Herb
榧子,虫积,Herb
灵香草,蛔虫病,Herb
灵香草,头痛,Herb
灵香草,感冒,Herb
灵香草,腹胀,Herb
绵马贯众,产后出血,Herb
绵马贯众,风热感冒,Herb
绵马贯众,疮疡,Herb
绵马贯众,人工流产,Herb
绵马贯众,流产,Herb
绵马贯众,绦虫病,Herb
绵马贯众,感冒,Herb
槟榔,疟疾,Herb
槟榔,虫积,Herb
槟榔,腹胀,Herb
醉鱼草,咳嗽,Herb
醉鱼草,钩虫病,Herb
醉鱼草,感冒,Herb
使君子,蛔虫病,Herb
使君子,蛲虫病,Herb
使君子,虫积,Herb
小茴香,痛经,Herb
小茴香,腹胀,Herb
丁香,呃逆,Herb
丁香,阴冷,Herb
丁香,痢疾,Herb
刀豆,肾虚,Herb
刀豆,呃逆,Herb
刀豆,腹胀,Herb
花椒,痰饮,Herb
花椒,肿胀,Herb
花椒,虫积,Herb
荜茇,偏头痛,Herb
荜茇,头痛,Herb
荜澄茄,气胀,Herb
荜澄茄,痢疾,Herb
山柰,霍乱,Herb
山柰,湿痹,Herb
山柰,腹胀,Herb
桂皮,痛经,Herb
桂皮,湿痹,Herb
山胡椒,霍乱,Herb
山胡椒,阳痿,Herb
山胡椒,中风,Herb
溪黄草,黄疸,Herb
积雪草,黄疸,Herb
积雪草,气腹痛,Herb
积雪草,痢疾,Herb
酢浆草,黄疸,Herb
酢浆草,疔疮,Herb
酢浆草,麻疹,Herb
酢浆草,痢疾,Herb
白鲜皮,黄疸,Herb
白鲜皮,热痹,Herb
椿皮,崩漏,Herb
白矾,黄疸,Herb
黄柏,黄疸,Herb
黄柏,肺结核,Herb
黄柏,阴虚发热,Herb
黄柏,疮疡,Herb
黄柏,结核病,Herb
黄柏,阴虚,Herb
黄柏,尿路感染,Herb
黄柏,遗精,Herb
黄柏,淋巴结结核,Herb
凤眼草,崩漏,Herb
凤眼草,痢疾,Herb
青叶胆,过敏性皮炎,Herb
青叶胆,疟疾,Herb
青叶胆,黄疸,Herb
青叶胆,咽喉炎,Herb
青叶胆,感冒,Herb
关黄柏,黄疸,Herb
关黄柏,疮疡,Herb
关黄柏,遗精,Herb
番石榴叶,臁疮,Herb
番石榴叶,疔疮,Herb
番石榴叶,湿痹,Herb
番石榴叶,腹胀,Herb
黄芩,咳嗽,Herb
黄芩,黄疸,Herb
黄芩,肺热咳嗽,Herb
黄芩,热咳,Herb
黄芩,肺热,Herb
黄芩,痞满,Herb
黄连,黄疸,Herb
黄连,疔疮,Herb
黄连,热中,Herb
黄连,痞满,Herb
黄连,肿瘤,Herb
黄连,痢疾,Herb
苦参,黄疸,Herb
当药,消化不良,Herb
当药,黄疸,Herb
当药,毒蛇咬伤,Herb
当药,咽喉炎,Herb
当药,痢疾,Herb
土茯苓,瘰疬,Herb
土茯苓,疔疮,Herb
土茯苓,汞中毒,Herb
半夏,痰饮,Herb
半夏,头痛,Herb
半夏,眩晕,Herb
半夏,梅核气,Herb
山麦冬,咳嗽,Herb
山麦冬,虚劳,Herb
麦冬,咳嗽,Herb
麦冬,咯血,Herb
麦冬,阴虚,Herb
麦冬,白喉,Herb
麦冬,咽白喉,Herb
北沙参,肺热,Herb
南沙参,肺热,Herb
南沙参,阴虚,Herb
太白参,脾肾两虚,Herb
玉竹,阴虚,Herb
玉竹,眩晕,Herb
银耳,癌症,Herb
银耳,咳嗽,Herb
银耳,肺热咳嗽,Herb
银耳,热咳,Herb
银耳,肺热,Herb
银耳,阴虚,Herb
银耳,虚劳,Herb
银耳,支气管炎,Herb
龟甲,阴虚,Herb
龟甲,崩漏,Herb
鳖甲,疟疾,Herb
鳖甲,积滞,Herb
鳖甲,阴虚发热,Herb
鳖甲,阴虚,Herb
鳖甲,难产,Herb
鳖甲,肿胀,Herb
鳖甲,虚劳,Herb
鳖甲,腹胀,Herb
凤凰衣,肺热,Herb
凤凰衣,阴虚,Herb
凤凰衣,眩晕,Herb
凤凰衣,淋巴结核,Herb
铁皮石斛,低血糖,Herb
铁皮石斛,阴虚,Herb
铁皮石斛,肿瘤,Herb
燕窝,咳嗽,Herb
燕窝,咯血,Herb
燕窝,虚劳,Herb
燕窝,痨瘵,Herb
黄精,咳嗽,Herb
黄精,阳痿,Herb
黄精,耳鸣,Herb
黄精,阴虚,Herb
黄精,遗精,Herb
黄精,虚劳,Herb
枸杞子,咳嗽,Herb
枸杞子,阳痿,Herb
枸杞子,虚劳,Herb
女贞子,耳鸣,Herb
女贞子,阴虚,Herb
女贞子,眩晕,Herb
沙棘,咳嗽,Herb
沙棘,消化不良,Herb
余甘子,咳嗽,Herb
余甘子,消化不良,Herb
余甘子,腹胀,Herb
啤酒花,消化不良,Herb
啤酒花,肺结核,Herb
啤酒花,膀胱炎,Herb
啤酒花,腹胀,Herb
藏菖蒲,消化不良,Herb
藏菖蒲,积滞,Herb
藏菖蒲,白喉,Herb
藏菖蒲,炭疽,Herb
稻芽,积滞,Herb
稻芽,腹胀,Herb
麦芽,回乳,Herb
麦芽,腹胀,Herb
谷芽,腹胀,Herb
六神曲,小儿食积,Herb
六神曲,消化不良,Herb
六神曲,腹胀,Herb
鸡内金,遗尿,Herb
鸡内金,遗精,Herb
莱菔子,咳嗽,Herb
莱菔子,腹胀,Herb
千金子,症瘕,Herb
千金子,积滞,Herb
千金子,痰饮,Herb
千金子,肿胀,Herb
千金子,肿瘤,Herb
千金子,闭经,Herb
红大戟,瘰疬,Herb
大戟,瘰疬,Herb
大戟,水臌,Herb
大戟,痰饮,Herb
大戟,肿胀,Herb
大戟,慢性肾炎,Herb
巴豆,腹胀,Herb
甘遂,症瘕,Herb
甘遂,肿胀,Herb
芫花,痰饮,Herb
芫花,肿胀,Herb
火麻仁,风痹,Herb
火麻仁,胆石,Herb
火麻仁,痢疾,Herb
郁李仁,腹水,Herb
牵牛子,痰饮,Herb
牵牛子,绦虫病,Herb
牵牛子,肿胀,Herb
牵牛子,虫积,Herb
紫苏子,咳嗽,Herb
紫苏子,风寒,Herb
紫苏子,感冒,Herb
蓖麻子,瘰疬,Herb
番泻叶,积滞,Herb
番泻叶,肿胀,Herb
芒硝,黄疸,Herb
芒硝,积滞,Herb
芒硝,尿毒症,Herb
芒硝,乳痈,Herb
芒硝,痔疮,Herb
芒硝,子痫,Herb
芒硝,脑病,Herb
芒硝,药物中毒,Herb
芒硝,高血压脑病,Herb
玄明粉,积滞,Herb
玄明粉,腹胀,Herb
芦荟,瘰疬,Herb
芦荟,萎缩性鼻炎,Herb
芦荟,虫积,Herb
大黄,症瘕,Herb
大黄,黄疸,Herb
大黄,积滞,Herb
大黄,疔疮,Herb
大黄,痞满,Herb
大黄,痢疾,Herb
枫香脂,瘰疬,Herb
枫香脂,瘫痪,Herb
枫香脂,咯血,Herb
松香,金疮,Herb
松香,瘰疬,Herb
松香,黄水疮,Herb
松香,脉管炎,Herb
八角莲,瘰疬,Herb
八角莲,疔疮,Herb
