disease_id,symptom_name
宫颈癌前病变,宫颈糜烂
子宫内膜厚,子宫出血
子宫内膜厚,痛经
盆腔疾病,白带异常
盆腔疾病,下腹疼痛
子宫囊肿,下腹部包块
子宫囊肿,尿频
人工流产,阴道出血
人工流产,盆腔下垂感
绝经后子宫颈癌,白带增多
绝经后子宫颈癌,阴道出血
混合型阴道炎,外阴溃疡
混合型阴道炎,外阴烧灼刺激感
外阴疖病,会阴溃疡
外阴疖病,疖肿
原发性痛经,痛经
原发性痛经,腹痛
绝经,停经
绝经,阴道不规则出血
产后风,畏寒
产后风,孕产妇腰痛
早孕反应,恶心与呕吐
早孕反应,恶心
胚胎停育,阴道排出碎块组织
胚胎停育,下腹疼痛
习惯性流产,阴道不规则出血
习惯性流产,下腹疼痛
妊娠合并风湿...,胸闷
妊娠合并风湿...,心慌
妊娠疱疹,疱疹
妊娠疱疹,结痂
完全流产,稽留流产
完全流产,先兆流产
妊娠痒疹,瘙痒
妊娠痒疹,孕妇小腿痒
胎儿生长受限,跖纹
胎儿生长受限,胎儿生长发育迟缓
早产,子宫颈扩张
早产,先兆早产
小儿腹泻病,腹泻
小儿腹泻病,腹痛
新生儿乙型肝炎,黄疸
新生儿乙型肝炎,皮肤发黄
小儿贲门失弛缓症,胃痛
小儿贲门失弛缓症,吞咽困难
小儿急性上呼...,畏寒
小儿急性上呼...,鼻塞
小儿肾病综合征,水肿
小儿肾病综合征,高凝状态
母乳性腹泻,消瘦
母乳性腹泻,腹泻
婴儿痉挛症,肌阵挛
婴儿痉挛症,智力发育迟缓
小儿胃肠炎,腹泻
小儿胃肠炎,粥样泻
小儿急性胃炎,腹部不适
小儿急性胃炎,腹痛
小儿烫伤,烫伤水泡破了
小儿烫伤,水肿
小儿红白血病,乏力
小儿红白血病,黄疸
小儿甲状腺功...,易激惹
小儿甲状腺功...,食欲异常
小儿结膜吸吮线虫病,结膜充血
小儿结膜吸吮线虫病,眼痛
小儿溃疡性结肠炎,腹痛
小儿溃疡性结肠炎,食欲不振
小儿家族性复...,尿蛋白
小儿家族性复...,血尿
小儿胃结块症,乏力
小儿胃结块症,消化不良
小儿肌阵挛性癫痫,意识障碍
小儿肌阵挛性癫痫,钙离子内流
小儿选择性免...,反复感染
小儿选择性免...,腹泻
小儿神经性厌食,厌食
小儿神经性厌食,消瘦
小儿遗尿,夜惊
小儿遗尿,习惯性尿裤
小儿肠套叠,小儿哭闹不安
小儿肠套叠,脱水
新生儿先天性膈疝,胸闷
新生儿先天性膈疝,发绀
小儿先天性胆...,腹痛
小儿先天性胆...,黄疸
脐膨出,水肿
脐膨出,脐周腹壁缺损
婴幼儿脐疝,脐湿
婴幼儿脐疝,咳嗽
新生儿尿布皮炎,丘疹
新生儿尿布皮炎,婴儿臀部红
新生儿皮下坏疽,足趾皮肤发黑
新生儿皮下坏疽,高热
小儿两性畸形,两性畸形
小儿两性畸形,睾丸微小
小儿输尿管脱垂,泌尿系感染
小儿输尿管脱垂,血尿
小儿指甲-髌...,指甲营养障碍
小儿指甲-髌...,脚趾甲内长
小儿睾丸扭转,阴囊肿大
小儿睾丸扭转,睾丸疼痛
小儿癫痫,流涎
小儿癫痫,角弓反张
幼年型类风湿...,风湿性多发性肌痛症
幼年型类风湿...,白细胞增多
小儿急性血行...,乏力
小儿急性血行...,盗汗
小儿干燥综合征,眼干
小儿干燥综合征,腮腺肿大
小儿心肌炎,奔马律心音
小儿心肌炎,发绀
念珠菌性包皮龟头炎,包皮痒
念珠菌性包皮龟头炎,丘疹
龟头珍珠疹,丘疹
龟头珍珠疹,瘙痒
龟头癌,龟头红点
龟头癌,包皮水肿
滴虫性包皮龟头炎,龟头瘙痒
滴虫性包皮龟头炎,水泡
男科病,遗精
男科病,男子性功能障碍
睾丸鞘膜积液,睾丸疼痛
睾丸鞘膜积液,附睾囊肿
阴茎珍珠疹,丘疹
阴茎珍珠疹,阴茎瘙痒
蹼状阴茎,性交困难
蹼状阴茎,排尿疼痛
急性包皮炎,龟头瘙痒
急性包皮炎,包皮痒
血精症,血精
血精症,尿急
阴茎淋巴管炎,阴茎异常
阴茎淋巴管炎,阴茎表浅性溃疡
睾丸畸形,睾丸微小
睾丸畸形,睾丸发育不全
包茎,多尿
包茎,排尿困难及尿潴留
包皮炎,包皮溃疡
包皮炎,包皮过长
包皮龟头炎,包皮溃疡
包皮龟头炎,尿道痒感
包皮阴茎头炎,脓性分泌物
包皮阴茎头炎,包皮过长
不射精症,男子性功能障碍
不射精症,精虚血弱
包皮过长,包皮疼痛
包皮过长,龟头瘙痒
包茎过长,脓性分泌物
包茎过长,包皮水肿
勃起功能障碍,阴茎短
勃起功能障碍,阴茎损伤
包皮水肿,尿道口有红斑和水肿
包皮水肿,包皮粘连
多睾症,疝区的疼痛或坠胀感
多睾症,睾丸触痛
非淋性前列腺炎,男子性功能障碍
非淋性前列腺炎,射精疼
附睾炎,阴囊肿大
附睾炎,输精管变粗
非细菌性前列腺炎,尿频
非细菌性前列腺炎,夜尿增多
附睾畸形,男性不育
附睾畸形,囊肿
睾丸扭转,剧烈疼痛
睾丸扭转,阴囊坠胀痛
睾丸炎,男性小腹痛
睾丸炎,高热
睾丸损伤,剧痛
睾丸损伤,恶心
龟头炎,脓疱
龟头炎,龟头溃疡
睾丸畸胎瘤,睾丸触痛
精子畸形,男子性功能障碍
精子畸形,睾丸胀痛
精囊结石,尿频
精囊结石,射精疼
急性细菌性前列腺炎,排尿障碍
急性细菌性前列腺炎,排尿疼痛
急性附睾炎,附睾囊肿
急性附睾炎,白细胞增多
精囊囊肿,尿频
精囊囊肿,囊肿
急性腮腺炎性睾丸炎,腮腺肿胀
急性腮腺炎性睾丸炎,睾丸疼痛
急性非特异性睾丸炎,败血症
急性非特异性睾丸炎,恶心与呕吐
精液不液化,腹痛
精液不液化,精液稠
精囊炎,尿频
精囊炎,尿痛
精索静脉曲张,精液发黄
精索静脉曲张,精索增粗肿胀
老年男性性功能障碍,性欲减退
淋病合并症前列腺炎,阴茎疼痛
淋病合并症前列腺炎,结节
淋病合并症精囊炎,睾丸胀痛
淋病合并症精囊炎,低热
良性前列腺增生,尿痛
良性前列腺增生,尿频
慢性附睾炎,胀感
慢性附睾炎,阴囊坠胀痛
慢性细菌性前列腺炎,尿频
慢性细菌性前列腺炎,性欲减退
男性病,尿频
男性病,腰痛伴尿频
男性病,尿
念珠龟头炎,龟头瘙痒
念珠龟头炎,阴部皮肤潮红
男性生殖器外伤,排尿障碍
男性生殖器外伤,生殖器外伤
尿道与阴茎结核,男性小便刺痛
尿道与阴茎结核,尿道瘘
男性生殖器畸形,囊肿
男性生殖器畸形,睾丸萎缩
男性不育症,男性不育
男性不育症,输精管堵塞
男生殖系结核,盗汗
男生殖系结核,低热
男性生殖腺机...,睾丸发育不全
男性生殖腺机...,第二性征改变
男性更年期综合症,身体“福态”
男性更年期综合症,耳鸣
嵌顿包茎,水肿
嵌顿包茎,疲乏
前列腺异位,尿频
前列腺异位,血尿
前列腺囊肿,男性小腹痛
前列腺囊肿,尿急
前列腺钙化,排尿障碍
前列腺钙化,小便不易排空
弱精,频繁遗精
弱精,器质性早泄
输精管堵塞,输精管疼痛
输精管堵塞,输精管堵塞
射精功能障碍,遗精
射精功能障碍,射精疼
少精子症,耳鸣
少精子症,死精子过多
死精症,遗精
死精症,精子大头畸形
输精管缺如,睾丸疼痛
神经性阳痿,勃起时间短
神经性阳痿,焦虑
特异性前列腺炎,男子性功能障碍
特异性前列腺炎,排尿不畅
无睾症,无睾丸
无睾症,性腺发育不良
无精症,男性不育
先天性睾丸发育不全,男子性功能障碍
先天性睾丸发育不全,阴茎短
小阴茎,阴茎短
小阴茎,痛性阴茎勃起
性功能障碍,男子性功能障碍
性功能障碍,性交困难
细菌性前列腺炎,夜尿增多
细菌性前列腺炎,发热伴尿频
细菌性前列腺炎,尿
阴囊坏疽,阴囊上有白色小疙瘩
阴囊坏疽,皮肤坏死
阴茎扭转,阴茎勃起不硬
阴茎扭转,阴茎异常
阴茎离断伤,阴茎损伤
阴茎离断伤,面色苍白
阴囊损伤,开放性损伤
阴囊损伤,瘀斑
阴茎前阴囊,阴茎异常
阴茎前阴囊,阴茎短
阳痿,快感缺乏
阳痿,尿液有白色沉淀物
隐睾,雄激素过少
隐睾,胀痛
阴囊潮湿,阴囊潮湿有异味
阴囊潮湿,阴囊瘙痒
遗精,腰酸
遗精,头昏
阴茎头包皮炎,包皮红肿
阴茎头包皮炎,包皮开裂
重复阴茎,排尿障碍
早泄,性交困难
早泄,尿液有白色沉淀物
珍珠丘疹,瘙痒
珍珠丘疹,灼痛
过敏性皮炎,过敏性皮炎
过敏性皮炎,皮肤瘙痒
烫伤,皮肤痛
烫伤,水泡
慢性荨麻疹,皮肤瘙痒
慢性荨麻疹,皮疹
脂溢性脱发,鳞屑
脂溢性脱发,瘙痒
自身敏感性皮炎,瘙痒
自身敏感性皮炎,皮肤斑丘疹
头部脂溢性皮炎,头皮屑多
头部脂溢性皮炎,头皮痒
先天性少白头,白发
先天性少白头,青少年白发
足癣,瘙痒
足癣,肢端易发生不易
丝状疣,丘疹
丝状疣,疤痕形成
阴囊炎,阴囊瘙痒
阴囊炎,阴囊潮湿有异味
急性荨麻疹,风团
急性荨麻疹,瘙痒
白化病,全身毛发呈灰白色
白化病,先天性少白头
急性淋病,尿道口疼
急性淋病,尿道口痒
梅毒性角膜病变,耳聋
梅毒性角膜病变,水肿
儿童尖锐湿疣,肛门瘙痒
儿童尖锐湿疣,外阴鳞状上皮疣状增生
梅毒性巩膜炎,眼痛
梅毒性巩膜炎,流泪
老年人神经梅毒,痴呆
老年人神经梅毒,感觉障碍
一期梅毒,淋巴结肿大
一期梅毒,硬下疳
性病性淋巴肉芽肿,腹股沟淋巴结肿大
性病性淋巴肉芽肿,直肠狭窄
男性尖锐湿疣,剧痒的疣状结节
男性尖锐湿疣,龟头瘙痒
毛滴虫病,瘙痒
毛滴虫病,阴道脓性分泌物
阴部鲍恩样丘疹病,丘疹
阴部鲍恩样丘疹病,湿疣
肛门尖锐湿疣,肛周皮肤潮红
肛门尖锐湿疣,丘疹
女性尖锐湿疣,外阴鳞状上皮疣状增生
女性尖锐湿疣,外阴溃疡
白毛舌,口臭
白毛舌,舌苔黄
耳石症,头晕
耳石症,眩晕
反流性喉炎,咽痛
反流性喉炎,呼吸困难
咽喉癌,咽喉疼痛
咽喉癌,咽喉干燥及灼热感
飞蚊症,非玻璃体的病变
飞蚊症,眼前异常闪光
口腔炎,口腔黏膜白斑
口腔炎,口腔黏膜溃疡
唇炎,唇红干燥
唇炎,嘴唇肿
舌炎,舌痛
舌炎,舌体深裂
口腔干燥综合征,口干舌燥
口腔干燥综合征,口腔黏膜溃疡
牙结石,刷牙出血
牙结石,牙齿异常
蝶窦炎,健忘
蝶窦炎,流鼻涕
口周湿疹,口唇周围有炎性
口周湿疹,瘙痒
黄斑变性,视力视野改变
黄斑变性,中心暗点以及屈
虹膜炎,虹膜发炎
虹膜炎,眼睛发红
病毒性结膜炎,眼内有异物感
病毒性结膜炎,炎性细胞浸润
慢性卡他性结膜炎,角膜炎
慢性卡他性结膜炎,眼睛刺痛
视网膜脱落,眼前黑影
视网膜脱落,视网膜脱离
眼结石,眼部胀痛
眼结石,眼睑异物
流行性角结膜炎,点状出血
流行性角结膜炎,视力障碍
眼外伤,目痛
眼外伤,阿罗瞳孔
过敏性结膜炎,皮肤瘙痒
过敏性结膜炎,结膜充血
老视,视近困难
老视,流泪
原发性开角型青光眼,眼底改变
原发性开角型青光眼,眼压升高
牙斑,绿牙或棕褐色牙
牙斑,牙齿颜色异常
牙周脓肿,牙龈长脓包
牙周脓肿,牙龈肿胀
裂纹舌,舌苔厚腻
裂纹舌,精血不足
牙病,牙疼
牙病,牙齿神经痛
慢性牙周炎,牙龈出血
慢性牙周炎,牙齿神经痛
会厌囊肿,喉头水肿
会厌囊肿,喉管阻塞
鼻外伤,流鼻血
鼻外伤,鼻小柱缺损
喉肿瘤,喉咙痛
喉肿瘤,喉部堵塞感
梅尼埃病,吞咽困难
梅尼埃病,恶心
喉切伤,动脉出血
喉切伤,呼吸困难
筛窦炎,鼻塞
筛窦炎,流鼻涕
化脓性中耳炎,恶心
化脓性中耳炎,小儿哭闹不安
喉淀粉样变,喉痒咳嗽
喉淀粉样变,呼吸困难
脑癌,头痛
脑癌,恶心与呕吐
癌症,恶病质
癌症,食欲下降
肿瘤,闭经
肿瘤,腹痛
睾丸癌,阴囊肿大
睾丸癌,睾丸疼痛
乳房肉瘤,乳房肿块
乳房肉瘤,持续性胸部疼痛
生殖细胞瘤,嗜睡
生殖细胞瘤,头痛并呕吐
扁桃体癌,咽部灼热疼痛
扁桃体癌,扁桃体肥大
乳腺肿瘤,泌乳障碍
乳腺肿瘤,乳腺内无痛单发
肛周肿瘤,肛门瘙痒
肛周肿瘤,便血
肾肿瘤,尿暗黑色
肾肿瘤,腰背痛
绝经期乳腺癌,绝经
绝经期乳腺癌,乳头溢液
错构瘤,腹部不适
错构瘤,腹部肿块
恶性肿瘤,食欲下降
恶性肿瘤,消化不良
乙状结肠癌,消化不良
乙状结肠癌,腹痛
甲状腺乳头癌,甲状腺肿大
甲状腺乳头癌,硬化
癌性疼痛,背痛
癌性疼痛,重度痛
尤因肉瘤,持续性疼痛
尤因肉瘤,软组织肿胀
阴道粒细胞肉瘤,下腹疼痛
阴道粒细胞肉瘤,绝经
胰头癌,腹痛伴黄疸
胰头癌,上腹部疼痛
乳房外湿疹样癌,瘙痒
乳房外湿疹样癌,皮肤轻度糜烂
软纤维瘤,发炎
软纤维瘤,丘疹
宫颈腺癌,鳞状细胞化生
