prescription_name,herb_name,dosage
小续命汤,麻黄,适量
小续命汤,芎藭,90克
小续命汤,干姜,适量
小续命汤,石膏,适量
小续命汤,人参,适量
小续命汤,当归,适量
小续命汤,桂心,适量
小续命汤,甘草,30克
小续命汤,杏仁,40枚
小续命汤,麻黄（去节.先煮掠去沫.焙.,一两半）
小续命汤,独活（,一两半）
小续命汤,升麻（,半两）
小续命汤,葛根（,半两）
小续命汤,羚羊角屑（,一两）
小续命汤,桂心（,一两）
小续命汤,防风（去叉.,一两半）
小续命汤,甘草（.,一两）
小续命汤,麻黄,1钱
小续命汤,防风,1钱
小续命汤,龙齿,1钱
小续命汤,防己,1钱
小续命汤,附子,1钱
小续命汤,石膏,1钱
小续命汤,桂枝,1钱
小续命汤,陈皮,5分
小续命汤,紫苏,5分
小续命汤,竹沥,1合
小续命汤,生姜汁,10匙
小续命汤,生地汁半合,适量
小续命汤,人参,2钱
小续命汤,焦术,2钱
小续命汤,茯苓,2钱
小续命汤,炮姜,8分
小续命汤,熟附子,3钱
小续命汤,北细辛,5分
小续命汤,生黄耆,3钱
小续命汤,防风,2钱
小续命汤,酒拌归身,3钱
小续命汤,法夏,1钱
小续命汤,甘草,8分
小续命汤,杞子,3钱
小续命汤,鹿胶,3钱
小续命汤,石菖蒲（米汁浸,适量
小续命汤,）,1钱5分（一方加天竺黄1钱5分）
散偏汤,白芍五钱(,15克)、川芎一两(30克)、郁李仁一钱(3克)、柴胡一钱(3克)、白芥子三钱(9克)、香附二钱(6克)、甘草一钱(3克)
散偏汤,、白芷五分(,1.5克)
白金丸（矾郁丸,白矾四两(,120g)、郁金七两(210g)
牡蛎泽泻散,牡蛎,适量
牡蛎泽泻散,泽泻,适量
牡蛎泽泻散,蜀漆,适量
牡蛎泽泻散,葶苈子,适量
牡蛎泽泻散,商陆根,适量
牡蛎泽泻散,海藻,适量
牡蛎泽泻散,栝楼根,等分
抵当汤,水蛭,6克)
抵当汤,虻虫各30个(,6克)
抵当汤,桃仁,20个(9克)
抵当汤,大黄三两(,9克)
白虎加人参汤,知母六两(,9克)、石膏一斤(30克)、甘草二两(3克)、粳米六合(15克)、人参三两(10克)
麻黄连翘赤小豆汤,麻黄,6克
麻黄连翘赤小豆汤,连翘,9克
麻黄连翘赤小豆汤,杏仁,9克
麻黄连翘赤小豆汤,赤小豆,30克
麻黄连翘赤小豆汤,大枣,12枚
麻黄连翘赤小豆汤,桑白皮,10克
麻黄连翘赤小豆汤,生姜,6克
麻黄连翘赤小豆汤,甘草,6克
三星汤,金银花,二两
三星汤,蒲公英,一两
三星汤,生甘草,三钱
三星汤,谷芽,10克
三星汤,麦芽,10克
三星汤,山楂,5克（一岁以上）
三星汤,谷芽,8克
三星汤,麦芽,8克
三星汤,山楂,3克（一岁以下）
子母两快汤,熟地,5钱
子母两快汤,麦冬,5钱
子母两快汤,当归,2钱
子母两快汤,山茱萸,3钱
子母两快汤,茯苓,2钱
子母两快汤,芡实,2钱
子母两快汤,山药,2钱
子母两快汤,玄参,5钱
子母两快汤,莱菔子,10~20克
子母两快汤,白萝卜,10~20克
开胸顺气丸,槟榔,300克
开胸顺气丸,牵牛子,400克
开胸顺气丸,陈皮,100克
开胸顺气丸,木香,75克
开胸顺气丸,姜制厚朴,100克
开胸顺气丸,醋制三棱,100克
开胸顺气丸,醋制莪术,100克
开胸顺气丸,猪牙皂,50克
开胸顺气丸,当归,9克、生地黄9克、桃仁12、红花9克、枳壳6克、赤芍6克、川芎5克、柴胡3克、桔梗5克、牛膝9克、甘草3克
补络补管汤,生龙骨,30g
补络补管汤,生牡蛎,30g
补络补管汤,三七粉,6g
补络补管汤,山茱萸,30g
栀子豆鼓汤（栀子豉汤）,栀子十四个(,9克)、香豉四合(6克)
甘草泻心汤,甘草,12克（炙）
甘草泻心汤,黄芩,9克
甘草泻心汤,干姜,9克
甘草泻心汤,半夏,9克（洗）
甘草泻心汤,大枣,12枚（擘）
甘草泻心汤,黄连,3克（注《金匮》有人参三两）
茯苓杏仁甘草汤,茯苓三两(,9克)
茯苓杏仁甘草汤,杏仁五十个(,8.5克)
茯苓杏仁甘草汤,甘草一两(,3克)
神术散,苍术五两(,150克)
神术散,藁本,30克)
神术散,白芷,30克)
神术散,细辛,30克)
神术散,羌活,30克)
神术散,川芎,30克)
神术散,甘草各—两(,30克)
神术散,苍术（米泔浸一宿,适量
神术散,焙）,150克
神术散,藁本香白芷,适量
神术散,细辛羌活川芎,适量
神术散,甘草,30克
神术散,苍术陈皮,适量
神术散,厚朴,1千克
神术散,甘草,360克
神术散,藿香,250克
神术散,砂仁,120克
神术散,苍术（米泔浸,适量
神术散,）,等分
神术散,荆芥穗,等分
神术散,藁本,等分
神术散,干葛,等分
神术散,麻黄,等分
神术散,甘草,等分
麻黄连翘赤小豆汤,麻黄,6克（去节）
麻黄连翘赤小豆汤,连翘,9克（即连翘根）
麻黄连翘赤小豆汤,杏仁,6克
麻黄连翘赤小豆汤,赤小豆,30克
麻黄连翘赤小豆汤,大枣,12枚（擘）
麻黄连翘赤小豆汤,生梓白皮（,适量
麻黄连翘赤小豆汤,现多用桑白皮代替）,10克
麻黄连翘赤小豆汤,生姜,6克
麻黄连翘赤小豆汤,甘草,6克（炙）
仙遗粮汤,仙遗粮四两（,120g）
仙遗粮汤,防风,一钱（3g）
仙遗粮汤,荆芥,一钱（3g）
仙遗粮汤,川芎,一钱（3g）
仙遗粮汤,当归,一钱（3g）
仙遗粮汤,天花粉,一钱（3g）
仙遗粮汤,金银花,一钱（3g）
仙遗粮汤,白蒺藜,一钱（3g）
仙遗粮汤,薏苡仁,一钱（3g）
仙遗粮汤,威灵仙,一钱（3g）
仙遗粮汤,山栀,六分（1.8g）
仙遗粮汤,黄连,六分（1.8g）
